ID,Floor,Letter,Date,Author,Status
2A,2,A,,,Not visited
2B,2,B,,,Not visited
2C,2,C,,,Not visited
2D,2,D,,,Not visited
2E,2,E,,,Not visited
2F,2,F,,,Not visited
2G,2,G,"April 9, 2026",Beatrix Potter,Picture taken
2H,2,H,,,Not visited
3A,3,A,,,Not visited
3B,3,B,,,Not visited
3C,3,C,"April 8, 2026",Michael Ondaatje,Picture taken
3D,3,D,"February 1, 2026",Jane Austen,Picture taken
3E,3,E,"March 27, 2026",Lucy Maud Montgomery,Picture taken
3F,3,F,,,Not visited
3G,3,G,"March 20, 2026",N/A,Picture taken
3H,3,H,,,Not visited
4A,4,A,,,Not visited
4B,4,,"March 8, 2026",George Orwell,Picture taken
4C,4,C,"March 22, 2026",Michael Ondaatje,Picture taken
4D,4,D,,,Not visited
4E,4,E,"February 25, 2026",Lucy Maud Montgomery,Picture taken
4F,4,F,"February 6, 2026",Ursula K. Le Guin,Picture taken
4G,4,G,"February 27, 2026",Beatrix Potter,Picture taken
4H,4,H,"March 21, 2026",Ernest Hemingway,Picture taken
5A,5,A,"February 3, 2026",,Not visited
5B,5,B,,,Not visited
5C,5,C,"February 1, 2026",,Visited
5D,5,D,"February 3, 2026",Naomi Klein,Picture taken
5E,5,E,,,Not visited
5F,5,F,"November 9, 2025",,Visited
5G,5,G,,,Not visited
5H,5,H,,,Not visited